課程名稱,學分數,必/選,開設科系,授課教師,備註
台灣南島語言的語法,3,選,語言所,宋麗梅,屬「語法學/語意學」領域，可以日文系「日語語法」、華教學程「詞彙語意學」充抵。
臺灣南島語構詞與句法概論,3,選,語言所,宋麗梅,
德語的語言結構,3,選,語言所,謝舒凱,
語言的邏輯分析,3,選,語言所,謝舒凱,
漢語語法學,3,選,華教學程,邱力璟 蔡宜妮,
法語的語言結構,3,選,華教學程,劉德馨,
現代漢語語法,3,選,中文系,張麗麗,
古漢語語法,3,選,中文系,張麗麗,
句法學,6,選,外文系,王珊珊,
篇章分析,3,選,華教學程,蔡宜妮,
詞彙語意學,3,選,語言所,呂佳蓉,
認知語言學導論,3,選,語言所,呂佳蓉,
語意學,3,選,語言所,謝舒凱,
語音與科技,3,選,語言所,馮怡蓁,屬「語音學/聲韻學」領域，可以中文系「聲韻學甲」充抵。
語言產出運動的生理基礎,3,選,語言所,邱振豪,
發音、行為與科學,3,選,語言所,邱振豪,
英語語音學一,3,選,外文系,史嘉琳,
英語語音學二,3,選,外文系,史嘉琳,
漢語音韻學,3,選,華教學程,劉德馨,
認知發展,3,選,心理系,曹峰銘,屬「認知／發展心理學」領域。
發展心理學,3,選,心理系,趙儀珊 曹峰銘,
人類學習與認知,3,選,心理系,連韻文,
知覺心理學,3,選,心理系,陳建中 葉素玲 葉俊毅,屬「知覺／生理心理學」領域。
生理心理學,3,選,心理系,賴文崧 葉俊毅,
心理實驗法,6,選,心理系,周泰立,屬「心理實驗法」領域。
統計方法,3,選,語言所,馮怡蓁 謝舒凱 李佳霖 邱振豪,屬「統計學」領域，各學院凡屬3學分之統計入門課皆可充抵。
C/C++程式設計,1,選,共教中心,張傑帆,屬「C/C++程式設計」領域。各學院凡屬教授C/C++程式之課程皆可充抵。
計算語言學程式設計基礎,3,選,語言所,謝舒凱,屬「Python程式設計」領域。各學院凡屬教授Python程式之課程皆可充抵。
R 語言與資料科學導論,3,選,語言所,謝舒凱,屬「R語言程式設計」領域，各學院凡屬教授 R 程式之課程皆可充抵。
資料結構與演算法實務,3,選,生機系,陳倩瑜,屬教授「資料結構與演算法」領域
科學計算,3,選,資工系,張智星,
資料結構與演算法,3,選,資工系,張智星,
