課程名稱,學分數,必/選,開設科系,授課教師,備註
語言學導論,3,必,語言所,語言所教師,可以中文系及外文系「語言學概論」、中英翻譯學程及人類系「語言學」、日文系「日本語言學概論」或華教學程「漢語語言學」充抵。
普通心理學,3,必,心理系,心理系教師,
計算機概論,2,必,資工系,"傅楸善, 趙坤茂",可以圖資系「電子計算機概論」、電機系「計算機概論」或工科海洋系及地理系「計算機概論與程式設計」充抵。
邏輯,2,必,哲學系,"曾漢塘, 傅皓正",可以哲學系「基本邏輯」充抵。
